"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"559.8149999859743","img/image_stim_h.png","72","image-keyboard-response","47","121633","0.0-8.0-1.19","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","122136","0.0-8.0-0.20","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"683.3300000289455","img/image_stim_h.png","72","image-keyboard-response","49","122820","0.0-8.0-1.20","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","124327","0.0-8.0-0.21","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"661.919999984093","img/image_stim_f_stroop.png","70","image-keyboard-response","51","124990","0.0-8.0-1.21","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","125995","0.0-8.0-0.22","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"703.4199999761768","img/image_stim_f.png","70","image-keyboard-response","53","126699","0.0-8.0-1.22","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","128707","0.0-8.0-0.23","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"649.5349999750033","img/image_stim_h_stroop.png","72","image-keyboard-response","55","129358","0.0-8.0-1.23","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","130616","0.0-8.0-0.24","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
