"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","image","condition"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","24442","0.0-9.0-0.6","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","",""
"415","img/image_stim_f.png","72","image-keyboard-response","22","24864","0.0-9.0-1.6","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","img/image_stim_f.png","congruent"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","26366","0.0-9.0-0.7","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","",""
"286","img/image_stim_h_stroop.png","72","image-keyboard-response","24","26657","0.0-9.0-1.7","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","img/image_stim_h_stroop.png","incongruent"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","27161","0.0-9.0-0.8","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","",""
"402","img/image_stim_f.png","72","image-keyboard-response","26","27566","0.0-9.0-1.8","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","img/image_stim_f.png","congruent"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","28568","0.0-9.0-0.9","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","",""
"301","img/image_stim_h.png","72","image-keyboard-response","28","28871","0.0-9.0-1.9","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","img/image_stim_h.png","congruent"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","30377","0.0-9.0-0.10","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","",""
"344","img/image_stim_f_stroop.png","72","image-keyboard-response","30","30726","0.0-9.0-1.10","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","img/image_stim_f_stroop.png","incongruent"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","31231","0.0-9.0-0.11","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","",""
"437","img/image_stim_h_stroop.png","72","image-keyboard-response","32","31669","0.0-9.0-1.11","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","img/image_stim_h_stroop.png","incongruent"
