speaker,gloss,date
MOT,what's this ?,28-OCT-1963
CHI,eye .,28-OCT-1963
MOT,that's not that .,28-OCT-1963
MOT,what's this ?,28-OCT-1963
CHI,bear .,28-OCT-1963
MOT,what's this ?,28-OCT-1963
CHI,a eye she .,28-OCT-1963
MOT,what's oh you know what what's this ?,28-OCT-1963
CHI,a yyy .,28-OCT-1963
CHI,a bear .,28-OCT-1963
CHI,yyy .,28-OCT-1963
CHI,a bear xxx .,28-OCT-1963
CHI,a .,28-OCT-1963
CHI,xxx .,28-OCT-1963
CHI,come here .,28-OCT-1963
CHI,up there .,28-OCT-1963
CHI,up there .,28-OCT-1963
CHI,xxx .,28-OCT-1963
CHI,up there .,28-OCT-1963
CHI,bike .,28-OCT-1963
MOT,yeah .,28-OCT-1963
CHI,ride bike .,28-OCT-1963
MOT,yeah .,28-OCT-1963
CHI,xxx .,28-OCT-1963
CHI,eat there .,28-OCT-1963
CHI,eat there Mommy .,28-OCT-1963
CHI,eat that .,28-OCT-1963
MOT,you eat that .,28-OCT-1963
GLO,ask her about these things .,28-OCT-1963
MOT,Sarah what's this ?,28-OCT-1963
CHI,oh ballie xxx ball .,28-OCT-1963
MOT,what's this ?,28-OCT-1963
CHI,xxx .,28-OCT-1963
MOT,why didn't you call Nana up on the telephone ?,28-OCT-1963
CHI,hello Nana .,28-OCT-1963
MOT,talk to her .,28-OCT-1963
MOT,tell her about the book .,28-OCT-1963
CHI,about book .,28-OCT-1963
CHI,a book .,28-OCT-1963
MOT,who's this ?,28-OCT-1963
CHI,a kitty .,28-OCT-1963
CHI,yyy .,28-OCT-1963
MOT,who's this ?,28-OCT-1963
CHI,ah xxx eye .,28-OCT-1963
MOT,who's this ?,28-OCT-1963
CHI,a teddy+bear .,28-OCT-1963
MOT,teddy+bear .,28-OCT-1963
MOT,and who's this ?,28-OCT-1963
CHI,eye eye .,28-OCT-1963
CHI,eye xxx .,28-OCT-1963
CHI,xxx .,28-OCT-1963
CHI,eye eye .,28-OCT-1963
CHI,b .,28-OCT-1963
CHI,eye eye .,28-OCT-1963
CHI,eye eye .,28-OCT-1963
CHI,b xxx .,28-OCT-1963
CHI,-um Ma +...,28-OCT-1963
CHI,bear !,28-OCT-1963
CHI,xxx .,28-OCT-1963
MOT,0 .,28-OCT-1963
CHI,give me Mommy give me .,28-OCT-1963
CHI,hey there .,28-OCT-1963
CHI,hey there .,28-OCT-1963
CHI,hey .,28-OCT-1963
ROG,0 .,28-OCT-1963
GLO,what's this ?,28-OCT-1963
CHI,dolly .,28-OCT-1963
CHI,see dolly .,28-OCT-1963
CHI,see dolly .,28-OCT-1963
GLO,oh is it ?,28-OCT-1963
CHI,a xxx .,28-OCT-1963
GLO,and what's this ?,28-OCT-1963
CHI,hat .,28-OCT-1963
CHI,hat .,28-OCT-1963
CHI,I broke that .,28-OCT-1963
CHI,I broke that .,28-OCT-1963
CHI,I broke that .,28-OCT-1963
CHI,yyy .,30-OCT-1963
CHI,want Bobo .,30-OCT-1963
CHI,milk .,30-OCT-1963
CHI,Bobo .,30-OCT-1963
MOT,here want a want a glass of milk ?,30-OCT-1963
CHI,xxx .,30-OCT-1963
MOT,be nice .,30-OCT-1963
CHI,0 .,30-OCT-1963
MOT,xxx be a cry baby today .,30-OCT-1963
MOT,do you want tonnie ?,30-OCT-1963
MOT,hm ?,30-OCT-1963
MOT,okay Mummy drink tonnie .,30-OCT-1963
CHI,0 .,30-OCT-1963
MOT,xxx going byebye up to see baby today .,30-OCT-1963
MOT,want to go see the little baby today ?,30-OCT-1963
MOT,huh ?,30-OCT-1963
